no,type,title,assignees,milestone,labels,state,user,created_at,closed_at,closed_by,updated_at,due_on,actual_man_hour,estimated_man_hour,project,project_status
57,Issue,大まかなスケジュール感,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 01:35:24,2020-03-17 10:45:28,ma3-ndbox,2020-03-17 10:45:28,,,,meeting,完了
58,Issue,ちょっと覚悟の相談,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 02:30:19,2020-03-14 09:29:35,ma3-ndbox,2020-03-14 09:29:35,,,,meeting,完了
59,Issue,要件定義周りの資料やりとりメモ,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 02:54:24,2020-03-14 09:49:32,ma3-ndbox,2020-03-14 09:49:32,,,,meeting,完了
60,PullRequest,ワイヤーフレームとUIフローのサンプルを作成,,,,closed,ma3-ndbox,2020-03-13 04:19:22,2020-03-13 04:21:16,ma3-ndbox,2020-03-13 04:21:16,,,,,
61,Issue,開発ルールの相談,ma3-ndbox,,,closed,ma3-ndbox,2020-03-13 04:23:23,2020-03-14 10:08:46,ma3-ndbox,2020-03-14 10:08:46,,,,meeting,完了
62,PullRequest,localstackのベースとなるdocker-composeを作成,rothr4,,,closed,rothr4,2020-03-14 00:32:23,2020-03-14 04:34:49,rothr4,2020-03-14 04:37:48,,,,,
63,Issue,もらった金額の分割の仕方,ma3-ndbox,,,closed,ma3-ndbox,2020-03-14 04:22:12,2020-03-14 10:13:50,ma3-ndbox,2020-03-14 10:13:50,,,,meeting,完了
64,Issue,issueの使い方について,rothr4,,,closed,ma3-ndbox,2020-03-14 06:46:58,2020-03-14 10:04:07,ma3-ndbox,2020-03-14 10:04:07,,,,meeting,完了
65,Issue,"各環境(dev, pro)とブランチの戦略を考える",rothr4,,見積工数: 3h,open,ma3-ndbox,2020-03-14 10:09:37,,,2020-03-20 03:59:51,,,3.0,meeting,保留
65,Issue,"各環境(dev, pro)とブランチの戦略を考える",rothr4,,見積工数: 3h,open,ma3-ndbox,2020-03-14 10:09:37,,,2020-03-20 03:59:51,,,3.0,tasks,保留
66,PullRequest,インフラ構成の下書き,,,,closed,ma3-ndbox,2020-03-15 01:12:30,2020-03-15 01:12:45,ma3-ndbox,2020-03-15 01:12:45,,,,,
67,PullRequest,APIのベース作成,,,,closed,ma3-ndbox,2020-03-15 03:38:27,2020-03-15 03:42:03,ma3-ndbox,2020-03-15 03:42:03,,,,,
68,Issue,LocalのLambdaにAPIを乗せて動作確認をする,rothr4;ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 2h,open,ma3-ndbox,2020-03-15 03:44:49,,,2020-03-20 03:54:47,2020-04-05 07:00:00,,2.0,tasks,直近でやる(1~2週間以内)
69,Issue,APIのコントローラークラスを作成,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 1.5h,open,ma3-ndbox,2020-03-15 03:48:17,,,2020-03-20 03:57:46,2020-04-05 07:00:00,,1.5,tasks,直近のマイルストーン
70,Issue,frontのlint設定,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min);見積工数: 1h,closed,ma3-ndbox,2020-03-15 03:49:38,2020-03-15 05:43:18,ma3-ndbox,2020-03-18 04:32:16,2020-04-05 07:00:00,0.5,1.0,tasks,完了
71,Issue,apiのlint設定,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1h,closed,ma3-ndbox,2020-03-15 03:49:43,2020-03-16 20:40:32,ma3-ndbox,2020-03-18 04:08:32,2020-04-05 07:00:00,1.0,,tasks,完了
72,Issue,cognitoの使えそうなlocal版が存在するか調査,rothr4,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-15 03:53:59,,,2020-03-20 03:56:49,2020-04-05 07:00:00,,3.0,tasks,直近のマイルストーン
73,Issue,Bootstrapを導入する,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-15 05:40:11,2020-03-15 07:03:24,ma3-ndbox,2020-03-18 04:09:08,2020-04-05 07:00:00,0.5,,tasks,完了
74,PullRequest,Frontのベースを作成,,,,closed,ma3-ndbox,2020-03-15 05:40:51,2020-03-15 05:42:10,ma3-ndbox,2020-03-15 05:42:10,,,,,
75,Issue,Frontで使用するAPIClientの実装,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-15 05:49:20,,,2020-03-20 03:57:21,2020-04-05 07:00:00,,3.0,tasks,直近のマイルストーン
76,Issue,FrontのVuex周りの整備,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 4h,open,ma3-ndbox,2020-03-15 05:49:39,,,2020-03-20 03:57:38,2020-04-05 07:00:00,,4.0,tasks,直近のマイルストーン
77,Issue,API側をなんちゃってクリーンアーキテクチャ風に整備,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 8h,open,ma3-ndbox,2020-03-15 05:50:28,,,2020-03-20 03:57:02,2020-04-05 07:00:00,,8.0,tasks,直近のマイルストーン
78,PullRequest,Bootstrapを使用できるようにする,,,,closed,ma3-ndbox,2020-03-15 06:17:24,2020-03-15 07:02:55,ma3-ndbox,2020-03-15 07:02:55,,,,,
79,Issue,このカンバンをスプレッドシートorエクセルorCSV出力できたら、幸せになれるかもしれない、と思った,,,実工数: 0h,closed,ma3-ndbox,2020-03-15 07:06:31,2020-03-18 04:57:04,ma3-ndbox,2020-03-18 04:57:51,,0.0,,tasks,オミット
80,Issue,Frontで1ページ作ってみながらのアーキテクチャ整備,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 8h,open,ma3-ndbox,2020-03-15 07:08:41,,,2020-03-20 03:56:56,2020-04-05 07:00:00,,8.0,tasks,直近のマイルストーン
81,Issue,Frontから何かしらAPIをつなげる,ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 1.5h,open,ma3-ndbox,2020-03-15 07:09:35,,,2020-03-20 03:57:14,2020-04-05 07:00:00,,1.5,tasks,直近のマイルストーン
82,Issue,"API,Frontのデプロイの仕組み",ma3-ndbox,フェーズ0(開発準備)-1,見積工数: 3h,open,ma3-ndbox,2020-03-15 07:24:07,,,2020-03-20 03:55:54,2020-04-05 07:00:00,,3.0,tasks,保留
83,PullRequest,パフォーマンス計測ツールの導入,,,,closed,ma3-ndbox,2020-03-15 08:09:00,2020-03-15 08:12:06,ma3-ndbox,2020-03-15 08:12:06,,,,,
84,Issue,第一回パフォーマンス得点が1点な件を調べる,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min);見積工数: 1.5h,closed,ma3-ndbox,2020-03-15 08:13:12,2020-03-20 03:25:28,ma3-ndbox,2020-03-20 03:26:29,2020-04-05 07:00:00,0.5,1.5,tasks,完了
85,PullRequest,[WIP] Make yaml for cloud-formation.,,,,open,rothr4,2020-03-15 08:20:50,,,2020-03-15 08:20:50,,,,,
86,PullRequest,api側にlint設定を入れます,,,,closed,ma3-ndbox,2020-03-16 20:38:36,2020-03-16 20:40:00,ma3-ndbox,2020-03-16 20:40:00,,,,,
87,Issue,"api, frontのbuildとlintチェックをCIに組み込む",ma3-ndbox,フェーズ0(開発準備)-1,実工数: 1.5h,closed,ma3-ndbox,2020-03-16 20:42:43,2020-03-16 22:09:11,ma3-ndbox,2020-03-18 04:07:08,2020-04-05 07:00:00,1.5,,tasks,完了
88,PullRequest,ciにlintを組み込んでみた,,,,closed,ma3-ndbox,2020-03-16 20:51:29,2020-03-16 21:57:37,ma3-ndbox,2020-03-16 21:57:37,,,,,
89,Issue,課金購入の仕組み調査,ma3-ndbox,,見積工数: 5h,open,ma3-ndbox,2020-03-16 23:13:35,,,2020-03-18 04:49:38,,,5.0,tasks,タスクプール
90,Issue,第一弾uiフローを顧客と完成させる,itoooh,フェーズ0(開発準備)-1,見積工数: 4h,open,ma3-ndbox,2020-03-17 10:41:01,,,2020-03-20 03:28:21,2020-04-05 07:00:00,,4.0,tasks,直近でやる(1~2週間以内)
91,Issue,第一弾ワイヤーフレームを顧客と完成させる,itoooh,フェーズ0(開発準備)-2,見積工数: 4h,open,ma3-ndbox,2020-03-17 10:41:06,,,2020-03-18 20:22:11,2020-04-26 07:00:00,,4.0,tasks,タスクプール
92,Issue,営業用のPCセットアップ,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.25h(15min),closed,ma3-ndbox,2020-03-17 10:46:42,2020-03-17 12:47:40,ma3-ndbox,2020-03-18 04:05:19,2020-04-05 07:00:00,0.25,,tasks,完了
93,Issue,この看板のタスク状況をいい感じにcsv化する仕組み,rothr4,フェーズ0(開発準備)-1,実工数: 4h;見積工数: 4h,closed,ma3-ndbox,2020-03-18 01:22:55,2020-03-20 03:36:08,rothr4,2020-03-20 03:36:08,2020-04-05 07:00:00,4.0,4.0,tasks,完了
94,Issue,csv化したタスク状況をgithub actionsに食わせて、まとめ用リポジトリにでも吐くようにする,rothr4,フェーズ0(開発準備)-1,実工数: 3h;見積工数: 1.5h,closed,ma3-ndbox,2020-03-18 01:23:53,2020-03-20 03:35:19,rothr4,2020-03-20 03:35:19,2020-04-05 07:00:00,3.0,1.5,tasks,完了
95,Issue,マイルストーン&ラベルの作成と各チケットへの反映,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 0.5h(30min),closed,ma3-ndbox,2020-03-18 02:57:19,2020-03-18 04:12:20,ma3-ndbox,2020-03-18 04:12:20,2020-04-05 07:00:00,0.5,,tasks,完了
96,Issue,ラベルの運用方法について共有,ma3-ndbox,,,open,ma3-ndbox,2020-03-18 03:59:18,,,2020-03-18 03:59:22,,,,meeting,議題
97,Issue,ちょっと意地悪なラベル設定(テスト用です),,,実工数: 0h,closed,ma3-ndbox,2020-03-18 03:59:58,2020-03-18 04:41:38,ma3-ndbox,2020-03-18 04:41:38,,0.0,,tasks,オミット
98,Issue,便利コマンド用のベース作成,ma3-ndbox,フェーズ0(開発準備)-1,実工数: 2h;見積工数: 3h,closed,ma3-ndbox,2020-03-18 04:17:18,2020-03-20 06:53:46,ma3-ndbox,2020-03-20 06:53:46,2020-04-05 07:00:00,2.0,3.0,tasks,完了
99,Issue,cloudfrontのYamlを役割ごとに分割する仕組み,rothr4,フェーズ0(開発準備)-1,見積工数: 2h,open,ma3-ndbox,2020-03-18 04:20:49,,,2020-03-20 03:55:21,2020-04-05 07:00:00,,2.0,tasks,保留
100,Issue,看板タスク集計CSVのタイムスタンプを変更,rothr4,フェーズ0(開発準備)-1,実工数: 0.5h(30min);見積工数: 0.5h(30min),closed,rothr4,2020-03-18 05:08:48,2020-03-20 03:54:36,rothr4,2020-03-20 03:54:36,2020-04-05 07:00:00,0.5,0.5,tasks,完了
101,PullRequest,[WIP] Added tools for Github tasks statistics.,,,,open,rothr4,2020-03-18 05:23:25,,,2020-03-20 07:47:17,,,,,
102,PullRequest,パフォーマンス1点な件の調査,,,,closed,ma3-ndbox,2020-03-20 03:23:22,2020-03-20 03:24:26,ma3-ndbox,2020-03-20 03:24:35,,,,,
103,Issue,GitHubタスク集計CSVからガントチャートを作成,rothr4,フェーズ0(開発準備)-1,見積工数: 2h,open,rothr4,2020-03-20 03:57:11,,,2020-03-20 04:01:41,2020-04-05 07:00:00,,2.0,tasks,直近でやる(1~2週間以内)
104,Issue,GitHub集計CSVからアクティビティステータスを可視化する,rothr4,フェーズ0(開発準備)-1,見積工数: 4h,open,rothr4,2020-03-20 03:58:38,,,2020-03-20 04:01:00,2020-04-05 07:00:00,,4.0,tasks,直近でやる(1~2週間以内)
105,PullRequest,aws cliのラッパーBashの作成,,,,open,ma3-ndbox,2020-03-20 06:46:41,,,2020-03-20 07:08:11,,,,,
